[11/08/2024 0:53:18] --> GM: ADMIN [268477782], Target: [no-target], Action: [admin_admin], Params: [] 
[11/08/2024 0:53:27] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_move_to], Params: [] 
[11/08/2024 0:53:29] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_help], Params: [ tele/towns.htm] 
[11/08/2024 0:53:30] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[11/08/2024 0:53:35] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[11/08/2024 0:54:20] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_admin], Params: [] 
[11/08/2024 0:54:25] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_admin3], Params: [] 
[11/08/2024 0:54:26] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_admin2], Params: [] 
[11/08/2024 0:54:27] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_admin], Params: [] 
[11/08/2024 0:54:32] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_admin4], Params: [] 
[11/08/2024 0:54:44] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_admin5], Params: [] 
[11/08/2024 0:55:01] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_admin4], Params: [] 
[11/08/2024 0:55:05] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_admin2], Params: [] 
[11/08/2024 0:55:17] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_admin2], Params: [] 
[11/08/2024 0:55:17] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_admin], Params: [] 
[11/08/2024 0:55:19] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_help], Params: [ help/main_menu.htm] 
[11/08/2024 0:56:06] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_gmshop], Params: [] 
[11/08/2024 0:56:08] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[11/08/2024 0:56:10] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
[11/08/2024 0:56:14] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_buy], Params: [ 9049] 
[11/08/2024 0:56:34] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_gmshop], Params: [] 
[11/08/2024 0:56:38] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_admin], Params: [] 
[11/08/2024 0:56:44] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_create_item], Params: [ //] 
[11/08/2024 0:57:14] --> GM: ADMIN [268477782], Target: [Clarissa], Action: [admin_admin], Params: [] 
[11/08/2024 0:57:18] --> GM: ADMIN [268477782], Target: [Clarissa], Action: [admin_set_menu], Params: [] 
[11/08/2024 0:57:22] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_admin], Params: [] 
[11/08/2024 0:57:37] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_fullfood], Params: [] 
[11/08/2024 0:57:43] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_gmshop], Params: [] 
[11/08/2024 0:57:55] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_help], Params: [ gmshop/sets.htm] 
[11/08/2024 0:58:00] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_buy], Params: [ 9117] 
[11/08/2024 0:58:19] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_gmshop], Params: [] 
[11/08/2024 0:58:30] --> GM: ADMIN [268477782], Target: [ADMIN], Action: [admin_buy], Params: [ 300511] 
